"","Symbol","Date","High","Low","Open","Close","Volume"
"1","HD",2005-12-15,42.790001,42.040001,42.48,42.580002,5405500
"2","HD",2005-12-16,42.779999,42.400002,42.77,42.5,8577900
"3","HD",2005-12-19,42.450001,41.599998,42.299999,41.82,5646100
"4","HD",2005-12-20,41.82,41.25,41.82,41.450001,5798200
"5","HD",2005-12-21,41.970001,41.48,41.740002,41.549999,4887100
"6","HD",2005-12-22,41.560001,41.23,41.5,41.43,4550300
"7","HD",2005-12-23,41.759998,41.139999,41.43,41.59,3910000
"8","HD",2005-12-27,41.959999,41.02,41.700001,41.02,4424300
"9","HD",2005-12-28,41.349998,40.919998,41.200001,41.09,4379100
"10","HD",2005-12-29,41.200001,40.669998,41.169998,40.740002,4537800
"11","HD",2005-12-30,40.970001,40.419998,40.650002,40.48,5154000
"12","HD",2006-01-03,41.450001,39.77,40.389999,41.240002,8959200
"13","HD",2006-01-04,41.040001,40.23,40.939999,40.48,9449800
"14","HD",2006-01-05,40.360001,39.810001,40.099998,40.080002,9492400
"15","HD",2006-01-06,40.509998,40.09,40.25,40.380001,9170200
"16","HD",2006-01-09,41.099998,40.25,40.799999,40.82,8242300
"17","HD",2006-01-10,42.490002,41.02,41.040001,41.799999,15087800
"18","HD",2006-01-11,43.200001,41.91,42,42.950001,12113400
"19","HD",2006-01-12,42.950001,42.490002,42.700001,42.549999,8515200
"20","HD",2006-01-13,42.59,41.48,41.91,41.91,8372500
"21","HD",2006-01-17,41.880001,41.360001,41.5,41.57,6372700
"22","HD",2006-01-18,42.110001,41.380001,41.57,41.900002,7066400
"23","HD",2006-01-19,41.990002,41.130001,41.299999,41.279999,12264400
"24","HD",2006-01-20,41.27,40.119999,41.16,40.169998,15030200
"25","HD",2006-01-23,40.580002,39.650002,40.400002,39.689999,9305100
"26","HD",2006-01-24,40.450001,39.720001,39.990002,40.450001,10890900
"27","HD",2006-01-25,40.66,39.790001,40.419998,39.98,8095800
"28","HD",2006-01-26,40.560001,40.040001,40.099998,40.400002,7279800
"29","HD",2006-01-27,40.650002,39.77,40.220001,40,8192700
"30","HD",2006-01-30,40.290001,39.720001,39.720001,40,5657800
"31","HD",2006-01-31,40.860001,39.82,40,40.549999,10809700
"32","HD",2006-02-01,40.580002,39.91,40.450001,40.23,6937400
"33","HD",2006-02-02,40.240002,39.810001,39.959999,39.959999,7343300
"34","HD",2006-02-03,39.959999,39.400002,39.849998,39.82,7560400
"35","HD",2006-02-06,40.02,39.279999,39.77,39.490002,7603800
"36","HD",2006-02-07,39.439999,38.5,39.34,38.73,11150100
"37","HD",2006-02-08,39.360001,38.860001,39,39.27,7242700
"38","HD",2006-02-09,39.5,38.950001,39.220001,39.049999,6989600
"39","HD",2006-02-10,39.32,38.700001,38.950001,39.220001,6237300
"40","HD",2006-02-13,39.93,39.02,39.02,39.700001,6469100
"41","HD",2006-02-14,41.209999,39.830002,39.950001,41.130001,12911900
"42","HD",2006-02-15,41.77,40.799999,41.099998,41.529999,10143400
"43","HD",2006-02-16,41.950001,41.34,41.610001,41.860001,7780200
"44","HD",2006-02-17,41.93,41.360001,41.849998,41.860001,8572700
"45","HD",2006-02-21,43,41.709999,43,41.869999,15235900
"46","HD",2006-02-22,42.200001,41.150002,42.130001,41.880001,10013900
"47","HD",2006-02-23,42.369999,41.459999,41.939999,41.580002,8311300
"48","HD",2006-02-24,41.869999,41.060001,41.799999,41.630001,7274700
"49","HD",2006-02-27,42.720001,41.75,41.82,42.450001,9702400
"50","HD",2006-02-28,42.419998,41.700001,42.18,42.150002,12243100
"51","HD",2006-03-01,42.689999,41.5,42.150002,42.59,9634900
"52","HD",2006-03-02,42.490002,41.799999,42.18,42.290001,11570100
"53","HD",2006-03-03,42.799999,41.91,42,42.200001,6157100
"54","HD",2006-03-06,42.18,41.540001,42.16,41.799999,8198200
"55","HD",2006-03-07,41.66,41.259998,41.650002,41.369999,5710600
"56","HD",2006-03-08,41.290001,40.900002,41.099998,41.16,8533800
"57","HD",2006-03-09,41.200001,40.279999,41.07,40.639999,9795500
"58","HD",2006-03-10,41.330002,40.630001,40.639999,41.25,6776000
"59","HD",2006-03-13,41.529999,40.849998,41.080002,41.25,5190900
"60","HD",2006-03-14,42.380001,41.110001,41.110001,42.139999,9242200
"61","HD",2006-03-15,42.349998,41.759998,42.02,42.259998,6063400
"62","HD",2006-03-16,42.869999,42.310001,42.470001,42.75,8699300
"63","HD",2006-03-17,43.009998,42.700001,42.970001,42.900002,13093100
"64","HD",2006-03-20,42.990002,42.700001,42.720001,42.849998,7354600
"65","HD",2006-03-21,43.169998,42.709999,42.84,43,10821900
"66","HD",2006-03-22,43.450001,42.77,42.77,43.369999,9505900
"67","HD",2006-03-23,43.950001,43.240002,43.25,43.810001,10267800
"68","HD",2006-03-24,43.849998,42.799999,43.720001,43.119999,7884800
"69","HD",2006-03-27,43.139999,42.75,42.950001,42.990002,6646600
"70","HD",2006-03-28,43.549999,42.82,42.900002,42.990002,7215400
"71","HD",2006-03-29,43.349998,42.73,43.049999,42.91,7367300
"72","HD",2006-03-30,43.029999,42.25,42.810001,42.380001,7492200
"73","HD",2006-03-31,42.939999,42.220001,42.599998,42.299999,9198200
"74","HD",2006-04-03,42.650002,42.189999,42.380001,42.380001,6977700
"75","HD",2006-04-04,42.700001,42.060001,42.299999,42.549999,6306000
"76","HD",2006-04-05,42.93,42.57,42.689999,42.650002,6680000
"77","HD",2006-04-06,42.630001,42.060001,42.599998,42.139999,7130000
"78","HD",2006-04-07,42.630001,41.84,42.389999,42.099998,8844700
"79","HD",2006-04-10,42.209999,41.549999,42.080002,41.799999,6960400
"80","HD",2006-04-11,42.09,41.279999,41.900002,41.43,7065300
"81","HD",2006-04-12,41.400002,40.799999,41.330002,40.990002,7047400
"82","HD",2006-04-13,41.380001,40.619999,40.900002,41.119999,5386000
"83","HD",2006-04-17,41.16,40.110001,41.029999,40.380001,6777600
"84","HD",2006-04-18,41.439999,40.240002,40.41,41.32,9382700
"85","HD",2006-04-19,41.450001,40.700001,41.200001,40.740002,6692800
"86","HD",2006-04-20,41.18,40.369999,40.849998,40.810001,5348100
"87","HD",2006-04-21,41.139999,40,41.099998,40.279999,9110200
"88","HD",2006-04-24,40.470001,39.950001,40.470001,40.080002,6571700
