,Symbol,Date,High,Low,Open,Close,Volume
1,JNJ,2005-12-15,60.35,60.00,60.15,60.16,6942500
2,JNJ,2005-12-16,61.35,60.19,60.33,60.86,13197200
3,JNJ,2005-12-19,62.00,61.10,61.55,61.19,10639100
4,JNJ,2005-12-20,61.19,60.67,60.92,60.78,6946700
5,JNJ,2005-12-21,61.20,60.70,60.98,60.88,6282100
6,JNJ,2005-12-22,61.32,60.56,60.96,61.32,5179100
7,JNJ,2005-12-23,61.51,61.01,61.30,61.11,3591100
8,JNJ,2005-12-27,61.20,60.27,61.12,60.30,6324400
9,JNJ,2005-12-28,60.66,60.30,60.30,60.42,5603100
10,JNJ,2005-12-29,60.70,60.04,60.53,60.25,5325100
11,JNJ,2005-12-30,60.25,60.03,60.10,60.10,5261300
12,JNJ,2006-01-03,61.85,61.05,61.07,61.63,10703100
13,JNJ,2006-01-04,62.64,61.76,61.93,62.58,9068100
14,JNJ,2006-01-05,62.95,62.10,62.57,62.32,9852600
15,JNJ,2006-01-06,62.74,62.14,62.36,62.60,5919200
16,JNJ,2006-01-09,63.01,62.43,62.52,62.99,7103700
17,JNJ,2006-01-10,63.10,62.50,62.52,63.10,6656700
18,JNJ,2006-01-11,62.99,61.94,62.96,62.50,8824100
19,JNJ,2006-01-12,62.55,61.80,62.50,62.21,7262400
20,JNJ,2006-01-13,62.29,61.42,61.90,61.82,7043600
21,JNJ,2006-01-17,62.07,61.10,61.31,61.28,9674000
22,JNJ,2006-01-18,62.24,61.35,61.75,62.19,7547400
23,JNJ,2006-01-19,62.62,61.70,62.30,62.17,7494700
24,JNJ,2006-01-20,62.30,60.73,61.24,60.80,11023500
25,JNJ,2006-01-23,61.24,60.61,60.75,61.19,7213100
26,JNJ,2006-01-24,60.79,59.36,60.19,59.36,19956800
27,JNJ,2006-01-25,61.00,58.04,61.00,58.50,25368800
28,JNJ,2006-01-26,59.50,58.56,58.75,58.64,15946100
29,JNJ,2006-01-27,59.21,58.35,58.95,58.71,11596300
30,JNJ,2006-01-30,58.75,58.04,58.71,58.40,11877300
31,JNJ,2006-01-31,58.34,57.45,58.15,57.54,20563700
32,JNJ,2006-02-01,58.42,57.65,57.67,57.86,13406000
33,JNJ,2006-02-02,58.38,57.59,58.35,57.65,10014200
34,JNJ,2006-02-03,57.50,57.02,57.26,57.38,11020100
35,JNJ,2006-02-06,57.56,56.81,57.50,56.85,10618900
36,JNJ,2006-02-07,57.33,56.70,57.00,56.80,10338700
37,JNJ,2006-02-08,58.74,56.93,57.05,58.60,14627400
38,JNJ,2006-02-09,59.71,58.30,59.15,58.55,12131200
39,JNJ,2006-02-10,58.76,58.24,58.70,58.39,8158200
40,JNJ,2006-02-13,58.64,58.04,58.38,58.50,5015500
41,JNJ,2006-02-14,59.27,58.70,58.70,59.05,9817100
42,JNJ,2006-02-15,59.40,58.70,59.08,59.10,8314500
43,JNJ,2006-02-16,59.45,58.58,59.45,58.98,11893700
44,JNJ,2006-02-17,59.27,58.74,59.18,59.07,6773400
45,JNJ,2006-02-21,59.32,58.75,59.13,59.14,6489200
46,JNJ,2006-02-22,59.20,58.70,59.01,59.03,8647200
47,JNJ,2006-02-23,59.06,58.45,59.00,58.59,9753300
48,JNJ,2006-02-24,58.69,57.42,58.69,57.76,10373100
49,JNJ,2006-02-27,58.55,57.83,57.96,57.91,7007800
50,JNJ,2006-02-28,57.92,57.42,57.81,57.65,8942200
51,JNJ,2006-03-01,57.82,57.45,57.62,57.66,7141200
52,JNJ,2006-03-02,58.26,57.45,57.50,57.69,7794500
53,JNJ,2006-03-03,58.12,57.47,57.55,57.47,6462400
54,JNJ,2006-03-06,58.07,57.51,57.57,57.85,7349500
55,JNJ,2006-03-07,58.31,57.53,57.53,58.22,9560000
56,JNJ,2006-03-08,58.85,57.83,58.15,58.74,7423700
57,JNJ,2006-03-09,58.97,58.25,58.95,58.31,8570900
58,JNJ,2006-03-10,59.04,58.50,58.65,59.04,9240900
59,JNJ,2006-03-13,59.37,59.00,59.35,59.08,6219700
60,JNJ,2006-03-14,59.40,59.03,59.15,59.29,7888100
61,JNJ,2006-03-15,59.95,59.10,59.15,59.80,8900800
62,JNJ,2006-03-16,60.23,59.70,59.95,60.02,10785400
63,JNJ,2006-03-17,60.40,60.15,60.40,60.34,11512300
64,JNJ,2006-03-20,60.55,60.30,60.40,60.48,5889200
65,JNJ,2006-03-21,60.84,60.41,60.78,60.57,7880000
66,JNJ,2006-03-22,61.10,60.30,60.30,61.00,7066500
67,JNJ,2006-03-23,60.90,60.62,60.77,60.81,6944600
68,JNJ,2006-03-24,60.80,60.29,60.66,60.39,5179200
69,JNJ,2006-03-27,60.40,59.75,60.07,59.94,7469400
70,JNJ,2006-03-28,59.87,59.51,59.80,59.60,7750000
71,JNJ,2006-03-29,59.80,59.35,59.62,59.51,6631700
